4,11-13,black
5,9-10,black
5,14-15,black
6,8,black
6,16,black
7,7,black
7,17,black
8,6,black
8,18,black
9,5,black
9,19,black
19,5,black
10,5,black
10,19,black
11,5,black
11,19,black
12,4,black
12,20,black
13,4,black
13,20,black
14,4,black
14,20,black
15,3,black
15,21,black
16,3,black
16,21,black
17,3,black
17,21,black
18,3,black
18,21,black
19,3,black
19,21,black
20,4,black
20,20,black
21,4,black
21,19,black
22,5,black
22,18,black
23,5,black
23,17,black
24,5,black
24,14-16,black
9,9-15,black
10,8,black
10,16,black
11,7,black
11,17,black
12,7,black
12,17,black
13,6,black
13,17-18,black
14,6,black
14,17-18,black
15,5-7,black
15,17-19,black
16,5-7,black
16,17-19,black
17,5-7,black
17,17-19,black
18,5-7,black
18,17-19,black
19,5-7,black
19,17-19,black
20,6-7,black
20,17-18,black
21,6-7,black
21,16-17,black
22,7,black
22,12-16,black
23,7,black
23,11-13,black
24,7,black
24,11-12,black
5,11-13,hoodiegray
6,9-15,hoodiegray
7,8-16,hoodiegray
8,7-17,hoodiegray
9,6-8,hoodiegray
9,16-18,hoodiegray
10,6-7,hoodiegray
10,17-18,hoodiegray
11,6,hoodiegray
11,18,hoodiegray
12,5-6,hoodiegray
12,18-19,hoodiegray
13,5,hoodiegray
13,19,hoodiegray
14,5,hoodiegray
14,19,hoodiegray
15,4,hoodiegray
15,20,hoodiegray
16,4,hoodiegray
16,20,hoodiegray
17,4,hoodiegray
17,20,hoodiegray
18,4,hoodiegray
18,20,hoodiegray
19,4,hoodiegray
19,20,hoodiegray
20,5,hoodiegray
20,19,hoodiegray
21,5,hoodiegray
21,18,hoodiegray
22,6,hoodiegray
22,17,hoodiegray
23,6,hoodiegray
23,14-16,hoodiegray
24,6,hoodiegray
24,13,hoodiegray