6,9-15,black
7,8,black
7,16,black
8,7,black
8,17,black
9,7,black
9,17,black
10,7,black
11,7,black
12,7,black
13,6,black
14,6,black
15,6,black
15,7,black
16,7,black
17,7,black
18,7,black
19,7,black
20,7,black
21,7,black
22,7,black
23,7,black
24,7,black
10,17,black
11,17,black
12,17,black
13,17,black
14,17,black
15,17,black
16,17,black
17,17,black
18,17,black
19,17,black
20,17,black
21,16,black
22,15,black
22,14,black
22,13,black
22,12,black
22,11,black
23,11,black
24,11,black
19,9,black
20,9,black
21,10,black